,,Employment size,,,,,,,,
Code,Area,0-4,05-09,10-19,20-49,50-99,100-249,250+,Total,
,,,,,,,,,,
E09000001,City of London,"14,880","2,875","2,060","1,185",580,395,330,"22,305",
E09000002,Barking and Dagenham,"6,830",645,310,135,40,25,15,"8,000",
E09000003,Barnet,"7,135",730,300,175,50,30,25,"8,445",
E09000004,Bexley,"7,205",685,350,185,65,45,20,"8,555",
E09000005,Brent,"7,295",850,390,205,65,35,15,"8,855",
E09000006,Bromley,"8,400","1,040",470,205,60,40,20,"10,235",
E09000007,Camden,"8,600",770,360,155,45,30,30,"9,990",
E09000008,Croydon,"8,615",760,335,155,45,20,15,"9,945",
E09000009,Ealing,"9,510",850,430,240,65,35,25,"11,155",
E09000010,Enfield,"9,780","1,205",645,355,140,95,70,"12,290",
E09000011,Greenwich,"10,510","1,025",440,180,40,25,10,"12,230",
E09000012,Hackney,"10,775","1,435",735,415,165,60,45,"13,630",
E09000013,Hammersmith and Fulham,"11,080","1,125",580,270,125,80,60,"13,320",
E09000014,Haringey,"11,080","1,010",535,215,75,50,40,"13,005",
E09000015,Harrow,"11,135","1,240",725,365,120,60,40,"13,685",
E09000016,Havering,"11,435","1,130",550,200,40,30,10,"13,395",
E09000017,Hillingdon,"11,800","1,290",580,340,155,95,85,"14,345",
E09000018,Hounslow,"11,945","1,215",480,170,50,30,50,"13,940",
E09000019,Islington,"12,280","1,320",560,305,95,50,45,"14,655",
E09000020,Kensington and Chelsea,"12,585","1,300",615,295,95,65,35,"14,990",
E09000021,Kingston upon Thames,"12,665","1,245",540,200,50,25,20,"14,745",
E09000022,Lambeth,"12,740","1,360",650,265,90,35,30,"15,170",
E09000023,Lewisham,"12,775","1,595","1,050",695,260,155,115,"16,645",
E09000024,Merton,"13,060","1,765",955,495,190,130,115,"16,710",
E09000025,Newham,"13,155","1,265",580,215,75,45,20,"15,355",
E09000026,Redbridge,"13,265","1,540",690,285,100,60,45,"15,985",
E09000027,Richmond upon Thames,"13,400","1,330",610,305,90,40,40,"15,815",
E09000028,Southwark,"15,015","1,655",750,355,125,60,35,"17,995",
E09000029,Sutton,"17,605","1,940","1,155",710,250,155,120,"21,935",
E09000030,Tower Hamlets,"20,245","2,105","1,125",620,175,85,50,"24,405",
E09000031,Waltham Forest,"22,785","2,125",910,365,135,85,35,"26,440",
E09000032,Wandsworth,"27,435","3,335","1,885","1,005",425,250,190,"34,525",
E09000033,Westminster,"38,540","6,795","4,165","2,110",875,495,390,"53,370",
,,,,,,,,,,
E13000001,Inner London,"221,625","28,725","16,475","8,785","3,405","2,000","1,580","282,595",
E13000002,Outer London,"213,935","21,830","10,040","4,590","1,550",915,610,"253,470",
,,,,,,,,,,
E12000001,North East,"54,330","9,905","4,780","2,640",800,465,350,"73,270",
E12000002,North West,"208,435","32,040","16,225","9,010","2,815","1,575","1,060","271,160",
E12000003,Yorkshire and The Humber,"146,980","23,880","11,930","6,510","2,125","1,100",785,"193,310",
E12000004,East Midlands,"146,360","22,485","10,590","5,945","1,940",980,735,"189,035",
E12000005,West Midlands,"170,165","27,165","13,160","6,730","2,215","1,150",925,"221,510",
E12000006,East,"215,440","29,910","14,525","7,890","2,600","1,375",955,"272,695",
E12000007,London,"435,560","50,555","26,515","13,375","4,955","2,915","2,190","536,065",
E12000008,South East,"327,805","43,525","21,905","11,860","3,740","2,230","1,585","412,650",
E12000009,South West,"184,145","28,560","13,840","7,530","2,335","1,175",760,"238,345", 
,,,,,,,,,,
E92000001,England,"1,889,220","268,025","133,470","71,490","23,525","12,965","9,345","2,408,040",
W92000004,Wales,"83,020","13,670","6,265","3,325",975,480,320,"108,055",
S92000003,Scotland,"129,175","23,295","11,705","6,070","1,760",975,675,"173,655",
N92000002,Northern Ireland,"61,285","8,520","4,365","2,410",720,415,235,"77,950",
,,,,,,,,,,
K04000001,England and Wales,"1,972,240","281,695","139,735","74,815","24,500","13,445","9,665","2,516,095",
K03000001,Great Britain,"2,101,415","304,990","151,440","80,885","26,260","14,420","10,340","2,689,750",
K02000001,United Kingdom,"2,162,700","313,510","155,805","83,295","26,980","14,835","10,575","2,767,700",
